shift_number,trip_number,passenger_count,tolls_amt,tip_amt,surcharge,total_amt,trip_distance,long_end,lat_end,long_start,lat_start,vendor_name,payment_method_rec,zipcode_start,zipcode_end,dropoff_minute,dropoff_hour,dropoff_day,pickup_minute,pickup_hour,pickup_day,pickup_year,trip_duration,medallion
282756704,17278,5,0,3,0.5,16.5,4.27,-73.9462,40.8072,-73.9881,40.7599,VTS,Credit,10026,10018,25,2,19,13,2,19,2010,12,C9798T
282761710,260,1,0,0,0.5,6.7,1.33,-73.9635,40.7627,-73.9837,40.7659,VTS,Cash,10065,10019,40,2,19,35,2,19,2010,5,C3633T
15656857,5243,1,0,1.9,0.5,14.6,3.8,-73.9925,40.7245,-73.9851,40.7635,CMT,Credit,10012,10018,11,2,10,55,1,10,2010,16,C5451T
15955954,8442,1,0,0,0.5,4.7,0.7,-73.9675,40.76,-73.9803,40.7655,CMT,Cash,10022,10103,7,2,24,5,2,24,2010,2,C5259T
273933205,11509,1,0,0,0,9.8,2.86,-74.0033,40.7242,-73.985,40.7591,VTS,Cash,10012,10020,0,3,1,50,2,1,2009,10,C5459T
275350694,5117,1,0,0,0,9.4,2.81,-73.9753,40.7936,-73.9879,40.7603,VTS,Cash,10162,10018,42,3,19,31,3,19,2009,11,C6166T
7524720,4175,1,0,0,0,6.5,1.5,-73.9815,40.7468,-73.984,40.7627,CMT,Cash,10110,10020,45,3,8,38,3,8,2009,7,C7576T
277572967,28106,1,0,0,0,4.2,0.58,-73.9858,40.759,-73.9881,40.7645,VTS,Cash,10018,10018,32,3,20,29,3,20,2009,3,C3234T
278389118,1016,1,0,0,0.5,12.3,3.96,-73.9236,40.7436,-73.9824,40.7583,VTS,Cash,11104,10020,6,3,15,53,2,15,2009,13,C7571T
11626344,8293,3,0,0,0.5,8.3,2,-73.9746,40.7907,-73.9842,40.7644,CMT,Cash,10162,10103,41,3,28,35,3,28,2010,6,C0705T
280264065,7460,1,0,0,0.5,4.7,0.72,-73.9867,40.7586,-73.9867,40.7586,VTS,Cash,10018,10018,12,3,28,10,3,28,2010,2,C4144T
280264627,7038,1,0,0,0.5,12.7,3.58,-73.9346,40.7536,-73.9834,40.7644,VTS,Cash,11106,10103,43,3,28,30,3,28,2010,13,C7672T
280869559,8172,3,0,0,0.5,30.7,10.77,-74,40.6416,-73.9899,40.7606,VTS,Cash,11219,10018,2,3,5,21,2,5,2010,41,C4548T
13022206,5425,1,0,0,0.5,7.1,1.8,-73.9924,40.745,-73.9881,40.7646,CMT,Cash,10001,10018,36,3,6,31,3,6,2010,5,C3138T
13016973,313,1,0,3.02,0.5,18.12,4.5,-73.9906,40.7172,-73.9856,40.7683,CMT,Credit,10002,10019,42,3,6,22,3,6,2010,20,C9497T
13454948,5877,1,0,1.34,0.5,8.04,1,-73.9697,40.7533,-73.9832,40.7625,CMT,Credit,10017,10020,53,3,27,47,3,27,2010,6,C7977T
13737508,5980,2,0,0,0.5,27.5,10.8,-73.9203,40.8689,-73.9846,40.7594,CMT,Cash,10034,10020,55,3,7,32,3,7,2010,23,C6964T
15801425,5721,4,0,0,0.5,21.1,7.6,-73.9896,40.6716,-73.9833,40.7606,CMT,Cash,11215,10020,22,3,17,58,2,17,2010,24,C9191T
283163512,9739,6,0,0,0.5,8.3,2.18,-74.0009,40.7423,-73.9832,40.7666,VTS,Cash,10011,10019,24,3,17,16,3,17,2010,8,C7572T
283670787,3403,5,0,1,0.5,14.1,3.38,-73.9859,40.7294,-73.9826,40.7613,VTS,Credit,10003,10020,8,3,21,51,2,21,2010,17,C6965T
4042859,1647,1,0,0,0,23.4,8.5,-73.9075,40.6975,-73.9828,40.7627,CMT,Cash,11237,10020,31,4,16,2,4,16,2008,29,C1116T
4218248,45,1,0,0,0,5,0.9,-73.9882,40.749,-73.9909,40.7581,CMT,Cash,10001,10018,54,4,30,51,4,30,2008,3,C0605T
273552240,12781,1,0,0,0,0,4.42,-73.9572,40.7456,-73.984,40.7578,VTS,Cash,11109,10020,9,4,14,54,3,14,2008,15,C7578T
273738392,22834,1,0,0,0,11.8,4.14,-73.934,40.7959,-73.9795,40.7656,VTS,Cash,10035,10103,23,4,28,11,4,28,2008,12,C3137T
276675678,11018,2,0,0,0.5,16.6,5.49,-73.9147,40.7834,-73.9828,40.763,VTS,Cash,11105,10103,55,4,19,36,4,19,2009,19,C2728T
8817189,8731,1,0,0,0,3.7,0.6,-73.9807,40.7708,-73.9817,40.7657,CMT,Cash,10019,10103,53,4,18,51,4,18,2009,2,C3434T
13295233,6047,1,0,0,0.5,11.1,3.1,-73.9564,40.7672,-73.9911,40.7584,CMT,Cash,10021,10018,36,4,20,24,4,20,2010,12,C6763T
